康师傅茉莉浪漫电影季之茉等花开	9,110万次播放
雅马哈2015最新励志微电影《梦想的声音》正式上线	716.3万次播放
【原创贺岁档】之《光辉岁月》-麦田导演作品	715.5万次播放
毛骗 第03集	715.1万次播放
幸福59厘米之夜天使	712.8万次播放
4夜奇谭之谎言大作战（上）	709.6万次播放
滕华涛金牛座《我的爸爸》正片	705.5万次播放
《睿之選@iclub》網上足本篇	705.2万次播放
郝蕾巨蟹座《180°之巨蟹&amp;魔羯》正片	704.3万次播放
生命中的那杯酒	701.2万次播放
〈红星美凯龙出品〉让一亿人触目惊心的不在场证明	695.8万次播放
麻辣隔壁 第02集	694.6万次播放
龙伟全导演—如果	693.3万次播放
《情系瘦西湖》	691.0万次播放
沈沁源导演作品《康桥的午夜电台》	690.1万次播放
郝蕾天蝎座《180°之天蝎&amp;金牛》正片	688.9万次播放
陆川天平座《心•方向》	688.6万次播放
城炮子ＶＳ土包子完整版	686.1万次播放
麻辣隔壁·贰 第04集	686.1万次播放
7喜最绝的蝴蝶效应	683.2万次播放
麻辣隔壁·贰 第05集	670.2万次播放
哈雷车队遭遇最强交规	668.9万次播放
4夜奇谭之爱在微博蔓延时（上）	663.9万次播放
毛骗 第02集	655.3万次播放
朋友小镇	651.2万次播放
最美的一度 致敬青春--《夏天的温度》	649.1万次播放
王小帅狮子座《坐标》	636.6万次播放
11度青春之《L.I》	635.7万次播放
两个傻子的爱情故事	632.8万次播放
麻辣隔壁 第03集	631.5万次播放
郝蕾双鱼座《180°之双鱼处女》正片	629.0万次播放
【美剧猫】笑过，哭过，我们都经历过..	628.3万次播放
老板的女人	626.9万次播放
2011年最后一支真实广告大片—支付宝《啤酒哥的故事》	625.7万次播放
幸福59厘米之北京门票	625.6万次播放
一群交大大学生花了12万多买了两辆车就拍了这么个东西	625.2万次播放
【不可能的可能】之《康桥的午夜电台》正片	624.6万次播放
王小帅射手座《远方》	624.5万次播放
毛骗·贰 第10集	623.8万次播放
陆川水瓶座《北北，北北》正片	621.5万次播放
爱就是这么简单	621.1万次播放
《11.11》完成版	621.0万次播放
最佳网络人气传播奖《梁亮亮和谢小星的简单故事》	620.9万次播放
毛骗 第04集	617.7万次播放
陆川双子座《终极魔术》正片	617.1万次播放
给不凡的妈妈	615.3万次播放
毛骗 第05集	610.5万次播放
福特福睿斯幸福时光微电影大赛——我爱你	609.2万次播放
毛骗·贰 第02集	605.6万次播放
滕华涛处女座《光斑》正片	605.5万次播放
末日过后	598.0万次播放
史上7特蝴蝶效应	595.4万次播放
彼岸	595.4万次播放
老男孩MV（导演剪辑版）删减片段曝光	586.1万次播放
毛骗 第06集	583.1万次播放
经典分手对白	581.5万次播放
麻辣隔壁 第04集	579.7万次播放
《部部惊心》之裸女画皮	573.3万次播放
《昨天》一个80年生人的回忆	569.6万次播放
青春校园爱情电影《回到那年夏天》淘梦网 独家发行	564.0万次播放
百事淘宝《为渴望而创》青春励志剧  第1集	563.3万次播放
百事淘宝《为渴望而创》青春励志剧  第1集	555.0万次播放
高级白富美的0.1%爱情	552.9万次播放
毛骗 第08集	550.6万次播放
毛骗·贰 第09集	545.4万次播放
毛骗 第10集	544.6万次播放
极品高富帅的0.1%爱情	539.0万次播放
毛骗 第07集	538.7万次播放
毛骗 第09集	536.4万次播放
爱情当前，看穷小子如何PK富二代！	535.7万次播放
百事淘宝《为渴望而创》青春励志剧  第1集	533.9万次播放
万万公司新作《我的五岁男友》	532.7万次播放
麻辣隔壁 第05集	532.2万次播放
好孕妈妈安全微电影  传递儿童安全	532.2万次播放
毛骗·贰 第03集	529.5万次播放
都市喜剧&lt;咪秘&gt;【正片】	528.8万次播放
《洗手间里的秘密》	526.6万次播放
五百导演作品《刷车》	526.1万次播放
一碗热干面	524.6万次播放
《醉在罗城》最美微电影 仫佬族微电影 河池第一部微电影	523.9万次播放
11度青春之《阿泽的夏天》	523.0万次播放
爱在黑河-生态情缘	521.7万次播放
看完不准哭！【外面的世界】毕业微电影	521.5万次播放
纹身故事	521.3万次播放
百事淘宝《为渴望而创》青春励志剧  第1集	520.6万次播放
毛骗·贰 第04集	518.5万次播放
青浦奥莱428微电影，9周年温情呈现！	516.1万次播放
毛骗·贰 第08集	514.7万次播放
一杯一自然 自然会幸福	512.6万次播放
毛骗·贰 第07集	510.3万次播放
11度青春之《夕花朝拾》	502.4万次播放
国内首部手指戏 陪你爆笑生活	501.8万次播放
11度青春之《东奔西游》	498.7万次播放
她和他的365小时	498.6万次播放
爱情规划局	497.7万次播放
《漫话仙游之三仙醉酒》	497.2万次播放
李宁 Shine动·穿越回去 第一集	496.6万次播放
微电影《证明你存在的价值》	494.6万次播放
沈阳师范大学原创短片《原点》	493.8万次播放
幸福，终究要回来-加班不加点影业	492.4万次播放
爱在黑河－鄂乡情缘	491.9万次播放
爱在黑河—两岸情缘	491.7万次播放
毛骗·贰 第06集	489.4万次播放
许鞍华导演作品《我的路》	488.8万次播放
吕乐导演作品《一维》	486.1万次播放
寻龙密码之真假棺椁	485.2万次播放
原罪少女 成片	484.3万次播放
爱情三十六计之一	475.4万次播放
这么漂亮的女孩，你这禽兽怎么能忍心下手啊！！！	475.0万次播放
一部很感人的微电影!	473.4万次播放
微电影 冰雪奇缘 陈卓	473.0万次播放
姜帝圭导演作品《恋慕》	472.1万次播放
毛骗 第01集（网络版）	468.1万次播放
吕惠洲导演作品《春暖花开》	464.7万次播放
春节拜年也要好状态	464.0万次播放
卡地亚Cartier Shape Your Time全新短片	463.6万次播放
《发财嘻游记》测试样片-本片仅供网络测试	461.1万次播放
奇妙之旅	460.9万次播放
逆袭之《老情人》 杨苗导演	460.4万次播放
关于爱情	459.2万次播放
电影《女神和男神经》	458.4万次播放
90后课堂实境实拍	458.3万次播放
金马奖得主蔡明亮导演、李康生主演《行者》	456.3万次播放
朴海镇微电影《梦想设计师》第24届中国金鸡百花［映像.吉林］海峡两岸暨港澳青年微电影大赛参赛作品	452.1万次播放
吴念真导演《新年头老日子》	451.3万次播放
和最好的你相遇01	450.2万次播放
《昨天》80后必看	450.0万次播放
敞开厨房向老味道致敬之勇气的老味道	449.9万次播放
本来以为是广告，结果哭瞎了！	447.0万次播放
最有面子的把妹办法	442.3万次播放
沈沁源作品《结局X》	441.9万次播放
【不可能的可能】之《刷车》五百导演	441.8万次播放
毛骗·贰  第05集	440.5万次播放
李阳导演作品《坏未来》	439.0万次播放
微电影《妈妈的一封信》	435.5万次播放
王老吉《倾世之恋》微电影震撼发布	433.3万次播放
看完不准哭！【外面的世界】毕业微电影	430.6万次播放
你是那个匆匆的小人物吗？	430.4万次播放
《部部惊心》之车祸人妻	429.0万次播放
没喝过健力宝，和咸鱼有什么区别	425.0万次播放
一碗馄饨	424.9万次播放
最美的爱，永不禁播	424.1万次播放
拉拉轻喜剧《热拉帮》第一集	422.8万次播放
卡地亚 Cartier Destinée 微电影	422.8万次播放
麻辣隔壁 第06集	420.8万次播放
毛骗 第15集	420.0万次播放
周洋导演作品《博弈》	417.3万次播放
2011年度最爆笑的视频来啦	416.3万次播放
《龙头》2013金考拉电影节最佳长片导演	415.9万次播放
董小姐之撕哔同学会	414.4万次播放
这样的偶遇一生只会有一次——《爱情不速食-偶遇》	414.1万次播放
寻找80后回忆的纪念馆	411.8万次播放
千万家庭求学路，家长和学生必看！视频反应当前学子真实写照！	411.6万次播放
真维斯冬季羽绒微电影《爱情没有温差》	410.6万次播放
《男生日记》-陈宇导演	407.7万次播放
《简单爱》：联想ideacentre A600网络大片精彩上映!!!!	406.9万次播放
《天堂午餐》  六分钟，可能改变你一生	405.1万次播放
福特福睿斯幸福时光微电影大赛——后会有妻	403.9万次播放
长安福特福睿斯幸福时光胶囊圆梦纪录片－惊喜的婚礼	403.5万次播放
一个女人和三个男人干那事，太龌龊了。	403.5万次播放
飞刀战青龙NB年会还是微电影	403.2万次播放
福特福睿斯幸福时光微电影大赛——留言	403.1万次播放
欺骗学妹，总不会有好下场	402.4万次播放
原创微电影《后象》	402.1万次播放
麻辣隔壁 第10集	401.5万次播放
[睿之選@iclub 1] 離開摯愛追夢    兄弟攜手打拼  Leave my love and fight for dreams	400.8万次播放
[睿之選@iclub 3]  愛情與夢想的抉擇 Torn between love and dream	400.6万次播放
[睿之選@iclub 2] 當青年IT企業家遇上美女媒體CEO When young IT entrepreneur meets beautiful CEO	400.3万次播放
逆袭系列微电影之《110米栏的天空》曾庆杰导演	399.9万次播放
何文超导演作品《盲钻》	398.4万次播放
80后帅哥心中理想女友	398.4万次播放
毕鑫业作品《房车》	395.1万次播放
冯绍峰篇 马爹利名士《当代名士•黄金时代》系列微电影	394.8万次播放
毕鑫业作品《房车》	391.9万次播放
百事淘宝《为渴望而创》青春励志剧  第1集	388.3万次播放
飞利浦男士理容《西装剧社》微电影	386.9万次播放
麻辣隔壁 第07集	384.3万次播放
试睡师	383.5万次播放
微电影《涟漪往事》	383.0万次播放
【王夫制作】唯一	382.2万次播放
真维斯微电影-我在记忆里等你（完整版）	379.7万次播放
《男生那点事》-最搞笑的大学情景喜剧	379.3万次播放
杨苗导演作品《秘密的爱》	378.9万次播放
【创意公园】作品《将爱进行到底》，因为爱情，所以等你爱我！	378.3万次播放
毛骗 第12集	378.3万次播放
有房有才女 你伤不起	376.6万次播放
办公室零食之战《嘻哈4重奏》08大结局	376.4万次播放
爱好者短片,我家楼下的豌豆射手	375.5万次播放
荣耀新力量2.0 —《快递来了》	371.5万次播放
真维斯微电影《我在记忆里等你》冬季版	371.1万次播放
毛骗 第11集	370.3万次播放
爱的诅咒之杜鹃花开	367.6万次播放
《嘻哈四重奏》第二季01“归来”	367.0万次播放
青春励志微电影《眼睛渴了》，看到第三遍的时候，我哭了！	363.3万次播放
泰国人又来挑衅了	362.5万次播放
兑换幸福	361.6万次播放
毛骗 第13集	360.4万次播放
小乔夜半加班鬼敲门《嘻哈4重奏》03	360.0万次播放
新青年网五年四班2011最新原创作品《这里有情况》	359.4万次播放
乐由心生系列微电影之《校园三快客》	358.7万次播放
金泰勇导演作品《你何止美丽》	358.5万次播放
温州职业技术学院毕业设计《再见大学》	353.2万次播放
《床上床下》男生初夜前后判若两人	350.7万次播放
麻辣隔壁 第09集	350.5万次播放
在公司吸烟的凄惨遭遇《嘻哈4重奏》05	350.3万次播放
一部点击率超过千万的微电影《非常末日》	349.8万次播放
匿名长腿“漂移女”上演成人版“争车位”	349.5万次播放
岳华平BOBO作品《6号赛车》	349.3万次播放
不伦悲恋：姐弟还是恋人无耻兽父令人发指	348.2万次播放
《四大萌捕》第一集	347.6万次播放
东风标致308微电影《选择爱》第一集	347.2万次播放
《交易》一部根据真实故事改编的5分钟感人微电影	346.2万次播放
少年足球梦	344.4万次播放
非诚勿扰已经弱爆了！都是微博招亲惹的“祸”！	344.1万次播放
网络交友千万要谨慎呐《嘻哈4重奏》07	343.7万次播放
《左魔传》	342.3万次播放
山村疑谜之尸谜	341.0万次播放
黄建新导演作品《失眠笔记》	339.2万次播放
“层层心思，更添臻意” 费列罗ROCHER微电影首发	338.6万次播放
北京大学艺术学院5周年院庆宣传片——《女生日记》	338.0万次播放
寡妇	336.7万次播放
男护士打针记2[高清]	336.1万次播放
戏弄老师	333.9万次播放
百事淘宝《为渴望而创》青春励志剧  第1集	333.8万次播放
《亲爱的玛嘉烈》第24届中国金鸡百花［映像.吉林］海峡两岸暨港澳青年微电影大赛参赛作品	331.5万次播放
深奥啊（中原工学院信息商务学院 原创DV）	330.4万次播放
岳华平BOBO作品《6号赛车》	329.7万次播放
这才是真的爱情！一个穷大学生被富家女包养日子，结局很出乎意料	328.0万次播放
《不可能的可能》之《博弈》	327.5万次播放
Eaters Digest	327.4万次播放
电影《青春好久不见》	327.4万次播放
【爱情绑匪团】沈沁源导演作品	327.0万次播放
《艳遇丽江》上集	326.8万次播放
毛骗 第18集	326.0万次播放
《爱，在四川---温江追梦篇》微电影正片	324.9万次播放
2011寻找属于你的轻活法-別人家的孩子（励志篇）	323.8万次播放
18爱不爱之怦然心动	322.7万次播放
校园爆笑系列喜剧之上课，代人点名的后果	320.8万次播放
爱的捆绑和人肉保龄球	320.4万次播放
暖暖相送公益短片	320.0万次播放
你知道屌丝那点事儿吗 130118	318.8万次播放
《物•语女子》之《书条女孩》	318.2万次播放
肆水年华系列微电影坚持篇	317.5万次播放
一人一半	317.2万次播放
经理向美女职员尴尬表白《嘻哈4重奏》04	316.1万次播放
麻辣隔壁 第08集	315.7万次播放
爱的诅咒之世界上的另一个你	315.1万次播放
不可能的可能 美女为赶时间裸上电梯	315.0万次播放
《枪声2》第24届中国金鸡百花［映像.吉林］海峡两岸暨港澳青年微电影大赛参赛作品	314.4万次播放
夜行动物	314.2万次播放
《品质的信仰》零到亿万的品牌传奇故事	314.1万次播放
《有诚可扰》——纪念我们心中那个，红裙姑娘	313.7万次播放
《热拉帮》第二集中国首部拉拉轻喜剧	311.4万次播放
《再不爱就晚了》	311.3万次播放
单挑视频王 梦碎劲舞团	311.1万次播放
Mian  is  佟丽娅	309.4万次播放
【原创贺岁档】之《12.21》-王岽鉴作品	309.2万次播放
《80岁的青春》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	309.0万次播放
惊！办公室上司对80后女下属的性骚扰	308.9万次播放
【泪崩】因不当用药致聋女孩的无声诉说  央视公益片看哭千万妈妈	308.2万次播放
鬼才导演李京刚《遇见你—向爱敬礼》入选香港国际电影周第六届金花国际电影节	307.1万次播放
幸福偶哈柚	306.9万次播放
周迅首部心灵环保微电影《霾没了》	306.5万次播放
世界第一闪电演唱会,秒杀不插电	306.0万次播放
学生五秒内的一天生活	305.7万次播放
福特福睿斯幸福时光微电影大赛——每小时一元	305.6万次播放
未来之星 Future Star	304.9万次播放
《夜•色》	304.8万次播放
富豪酒店呈献：《富豪盛世幸福梦》古天乐陈慧琳	304.6万次播放
138000吨的情缘《寻梦航行者号》	304.2万次播放
张婉婷导演作品《深蓝》	303.3万次播放
福特福睿斯幸福时光微电影大赛——载爱寸草心	302.7万次播放
原创微电影《荣耀》	302.5万次播放
福特福睿斯幸福时光微电影大赛——情动一生	301.4万次播放
旅馆守夜人与妓女的故事	300.5万次播放
如果遇见 Shutter Love	300.4万次播放
优酷监制《异闻录》	298.6万次播放
北京大学艺术学院5周年院庆宣传片——《女生日记》	298.2万次播放
《初夜》 激吻青春	296.5万次播放
《父亲》之父子篇预告片	295.0万次播放
鬼片：奸尸惊魂	294.7万次播放
《除尘篇》	294.0万次播放
毛骗 第14集	293.5万次播放
幸福语录之吕惠洲	292.9万次播放
北京大学艺术学院5周年院庆宣传片——《女生日记》	291.2万次播放
北京大学艺术学院5周年院庆宣传片——《女生日记》	290.8万次播放
《公司那点事儿》第一集——菜鸟入职	289.9万次播放
《那些特立独行的猪》 第一章	289.0万次播放
原创短片 红黄蓝白 上海戏剧学院出品	288.9万次播放
功夫小子岳松送给大家的新年礼物--绝对震撼	288.6万次播放
戏弄美女老师	287.5万次播放
很黄色、很搞笑的贺岁片,结果笑喷了	286.5万次播放
黑泽清导演作品《美丽新湾计划》	286.1万次播放
美女教你DIY草莓味的围巾-联想本色Z流行	284.9万次播放
倾听自己	284.7万次播放
2015中国首部美食微电影《成都味道》 优酷首发	284.2万次播放
沈沁源导演作品《移动太阳的男人》另类求婚技能曝光  暖男为爱反转自然力	284.1万次播放
孕期的秘密	284.0万次播放
暴强盒饭大叔狂喷蛋蛋经让张艺谋崩溃了	283.1万次播放
《色彩青春》	282.7万次播放
微电影《爱没有距离》，飞鹤2015年温馨巨献	281.7万次播放
张杨导演作品《束河古镇》	280.7万次播放
《夏娃的秘密》正片	280.2万次播放
曾哥、春哥靠边站，纯爷们是咱喇叭哥	279.4万次播放
谈判专家VS愤怒的老婆	278.8万次播放
逆袭之《最美的阳光》 韩可一导演	277.9万次播放
爱的诅咒之幻境天使的摇滚世界	277.5万次播放
奔跑吧拉芳女孩！让梦想柔顺绽放	275.2万次播放
毛骗 第16集	274.9万次播放
《亦丰魔幻》（yifmagic）之手机入瓶	270.2万次播放
广告说啥我信啥【之四】：牙膏	269.9万次播放
床上床下	269.8万次播放
第一把交椅（喜感小胖的密室之旅）	269.3万次播放
《快乐的小2B》第01集	268.7万次播放
逆袭之《宝贝》 谢晓萌导演	267.7万次播放
IN APP inner—《she power》情怀片 学生篇	267.6万次播放
大学生同居的事儿03	265.6万次播放
大学生同居的事儿01集	265.6万次播放
微电影-最高礼遇	265.4万次播放
《公司那点事儿》第四集——乱点鸳鸯谱	265.3万次播放
李宁 Shine动·穿越回去 第二集	265.0万次播放
TRENDIANO 微电影 - 看郑恺游走真实与幻境边缘	264.3万次播放
美林，最好的给最爱的	262.7万次播放
《春暖花开》房祖名演技获认可	261.3万次播放
杨幂自导自演微电影《交换旅行》	261.1万次播放
爱的诅咒之完美邂逅	260.1万次播放
转身	259.9万次播放
80后的回忆第二季---创业篇	259.9万次播放
微电影《剩者为王》	259.6万次播放
爆笑：《我的隔壁是良人》第一季第7集：爱的日子	259.5万次播放
逆袭之《生活在别处》张扬导演	259.0万次播放
微电影-关键一球	258.2万次播放
【让妈妈再年轻一次】春节回家必看，感动千万国人	258.0万次播放
微电影-杂耍大师	257.9万次播放
《调研报告》	257.6万次播放
《玩儿大了》	257.2万次播放
TIME	257.1万次播放
张杨导演作品《大山里的声音》	255.2万次播放
【不可能的可能】之《下半场》杨庆生导演	254.8万次播放
毛骗 第17集	253.2万次播放
七夕最痴情的狗男女	253.2万次播放
《4B青年欢乐多》演员特别版	253.0万次播放
床上床下 高清_标清	252.3万次播放
东风标致308微电影《选择爱》第二集	251.0万次播放
毛骗 第02集（网络版）	250.8万次播放
情色微电影：小三	250.7万次播放
《我会陪在你身旁》比英雄本色还要感人至深的兄弟情义	250.5万次播放
闪婚日记	249.4万次播放
9零后赌神	249.1万次播放
一伙暴力恐怖份子被一英雄打跑	248.6万次播放
《爱疯时代》 高清	248.5万次播放
爱在囧途 下部 让爱飞翔	247.9万次播放
《过站》--毕业季短片完整版	247.6万次播放
优酷财..马云中国梦2016年最新励志演讲视频_年轻人必	17次播放
史上最伟大的爱情故事	246.7万次播放
报告老板番外篇之北京爱情故事	246.2万次播放
逆袭之《遍地黄金》 程亮导演	245.9万次播放
《office嘻哈四重奏》第2季02白领的门槛有多高	243.8万次播放
如果哪天我放弃你了，不是我不喜欢你，而是你不珍惜	243.0万次播放
不会吧！这么漂亮的美女也是小偷	242.5万次播放
项秋良导演作品《快递之王》正片	240.8万次播放
爆笑：《我的隔壁是良人》第一季第1集：兄弟相逢	240.3万次播放
殡仪馆里的婚礼【天使的翅膀】	239.7万次播放
比韩剧还韩剧 爱.呼吸	238.6万次播放
新媒体电影《谋逆》@淘梦网 独家发行	237.1万次播放
爱的诅咒之异境	236.7万次播放
毛骗 第14集（网络版）	235.4万次播放
毛骗 第20集	235.2万次播放
史上最可爱搞笑的老鼠 - 奶酪广告创意	235.1万次播放
“青春路”系列微电影完整版：《存在》	234.5万次播放
[季录]再见，北京·2013成长季（九）	234.2万次播放
《北京热》	233.0万次播放
超感人毕业微电影《如果爱忘了》	232.9万次播放
带哪个女友回家过年	230.8万次播放
《嘻哈四重奏》第2季05小乔的圣诞老公公	230.2万次播放
乞丐把美女救了，美女的报答方式太龌龊了.....	227.7万次播放
《从心发现》家的味道	227.6万次播放
《成人记》第二集	227.2万次播放
大学生同居的事儿02集	226.4万次播放
网易微电影《闺蜜》演绎李冰冰自己的故事	226.3万次播放
女人，你等累了吗？	225.6万次播放
跑过死神的生命快递员	225.5万次播放
荣耀新力量2.0 —《元》	224.3万次播放
闺蜜爱人优酷删减版	224.0万次播放
生于80年代的人必看(修正）	223.4万次播放
原来爱情	222.5万次播放
如果这就是爱	222.3万次播放
相信我能，勇敢做自己	222.0万次播放
新媒体电影《恋曲之无爱不欢》淘梦网 独家发行	221.8万次播放
沈沁源作品《结局X》	221.7万次播放
守望平安	221.1万次播放
人该怎样活着《父亲的自行车》深情预告	220.9万次播放
脑残粉自拍网络神剧，月光宝盒之大肾娶亲	220.4万次播放
网络男女谈18次复合经历!!!令人惊叹！	219.3万次播放
喷了！办公室惊现疯狂女	218.7万次播放
致青春--青春散场，我们毕业了	217.8万次播放
女子被下药抱上床	217.3万次播放
刘波微电影《家有闲妻》	217.2万次播放
毛骗 第19集	215.5万次播放
赵小鸥导演作品《爱情程式》	213.8万次播放
【柠檬】《天堂午餐》  六分钟，可能改变你一生	213.7万次播放
最受网友喜爱导演最佳导演最佳剪辑《人有三急》	213.6万次播放
外婆家的味道微电影  超感人巨作  520	213.3万次播放
小旭和欧非（央视第二届杭州国际微电影节入围作品）	213.1万次播放
《原罪》第24届中国金鸡百花［映像.吉林］海峡两岸暨港澳青年微电影大赛参赛作品	212.8万次播放
看屌丝男刘波如何追上白富美	211.8万次播放
心情spa第五集：默契大考验	211.3万次播放
微电影《隔·膜》--一部关于处女情结的电影	210.9万次播放
超级搞笑!	209.4万次播放
RAPIDO 朴信惠 LONG DISTANCE LOVE微电影	209.1万次播放
阳江路奇传媒 — 《阳江2》	208.8万次播放
恐怖惊悚微电影《出租车午夜惊魂记》导演：齐鹏翔	208.6万次播放
禁忌关系之双非	208.6万次播放
催泪4分钟：最好吃的饭	208.6万次播放
京城奶爸伤得起	207.2万次播放
刘波微电影《刘波的快乐生活》	207.2万次播放
手机拍客微电影《让爱发生》	206.9万次播放
刘波微电影《温柔陷阱》	206.7万次播放
微电影-家勒比海盗	206.7万次播放
来自天堂的航班	205.9万次播放
健康女人发学院02	205.7万次播放
蜜河盛宴预告片	205.4万次播放
美女 短群 丈夫不在家热舞 吊带 露第一部	204.9万次播放
《爱•偷天焕日》史上最具混血气质微电影	204.5万次播放
不朽	204.4万次播放
寻找英雄儿女系列电影《妈妈的爱》	204.2万次播放
福特福睿斯幸福时光微电影大赛——幸福站点	204.0万次播放
我的歪歪女友	203.4万次播放
2014年360手机助手&quot;加固保&quot;-致开发者tvc短片《守护》	203.2万次播放
枪声响起	203.1万次播放
2015创城记《女儿的蛋糕》	203.1万次播放
福特福睿斯幸福时光微电影大赛——车手	203.1万次播放
小熊电器微电影《爱 不停炖》	203.0万次播放
【励志】这部短片，感动了1000万微商！！！	202.6万次播放
《谁都别惹我》 第六集	202.5万次播放
【预告】原创雇佣兵题材微电影《叛逆者》预告片	202.4万次播放
福特福睿斯幸福时光微电影大赛——父子	202.1万次播放
逆时·恒美	202.0万次播放
让所有男性球迷都hold不住的妹纸！遇到你就娶了吧	201.9万次播放
时代华纳《疯狂出租屋》贺岁系列之二	201.9万次播放
功夫负了	201.8万次播放
福特福睿斯幸福时光微电影大赛——我走我的路	201.7万次播放
即使末日来临 我们也要拼下去	201.5万次播放
福特福睿斯幸福时光微电影大赛——爸爸的梦想	201.0万次播放
《第七年》微电影	200.9万次播放
纯正“乡水味”-电影《童年的最后一个夏天》	200.8万次播放
天生独型：90后青春手写体完整版	200.6万次播放
《灯谜篇》	200.5万次播放
电影写真MV《小夫妻》	200.5万次播放
《卡西莫多的礼物》第24届中国金鸡百花［映像.吉林］海峡两岸暨港澳青年微电影大赛参赛作品	200.4万次播放
福特福睿斯幸福时光微电影大赛——手下留情	200.4万次播放
【我有话要说】41期 男人心中最完美的女神	200.4万次播放
第一部网络季播剧《星座方程式》宣传片	200.4万次播放
《青禾》第24届中国金鸡百花［映像.吉林］海峡两岸暨港澳青年微电影大赛参赛作品	200.4万次播放
灌篮菜鸟伤得起	200.0万次播放
屌丝男士第4季完整遇上嫩模	198.5万次播放
动画《纪念日快乐》	198.1万次播放
《玩大的》正片——游戏圈首部原创电影	198.1万次播放
这样的剩女, 你要不要?	197.6万次播放
素梅兔斯基	197.3万次播放
